# 图信息文件 - politifact 数据集
# 格式: 索引 | 节点数 | 标签
# 总图数: 314
==================================================
索引       节点数        标签        
--------------------------------------------------
0        497        True      
1        21         True      
2        142        True      
3        15         True      
4        30         True      
5        30         True      
6        86         True      
7        10         True      
8        49         True      
9        433        True      
10       152        True      
11       423        True      
12       37         True      
13       109        True      
14       312        True      
15       90         True      
16       20         True      
17       6          True      
18       40         True      
19       89         True      
20       6          True      
21       492        True      
22       237        True      
23       78         True      
24       101        True      
25       29         True      
26       115        True      
27       441        True      
28       232        True      
29       82         True      
30       145        True      
31       54         True      
32       318        True      
33       397        True      
34       10         True      
35       17         True      
36       42         True      
37       41         True      
38       186        True      
39       38         True      
40       208        True      
41       72         True      
42       160        True      
43       4          True      
44       25         True      
45       52         True      
46       269        True      
47       262        True      
48       12         True      
49       418        True      
50       184        True      
51       481        True      
52       65         True      
53       6          True      
54       4          True      
55       4          True      
56       6          True      
57       28         True      
58       60         True      
59       161        True      
60       4          True      
61       3          True      
62       20         True      
63       12         True      
64       13         True      
65       7          True      
66       7          True      
67       270        True      
68       17         True      
69       312        True      
70       123        True      
71       45         True      
72       22         True      
73       38         True      
74       48         True      
75       129        True      
76       12         True      
77       7          True      
78       188        True      
79       26         True      
80       39         True      
81       35         True      
82       451        True      
83       43         True      
84       19         True      
85       54         True      
86       40         True      
87       6          True      
88       279        True      
89       16         True      
90       17         True      
91       46         True      
92       3          True      
93       130        True      
94       58         True      
95       14         True      
96       27         True      
97       232        True      
98       15         True      
99       231        True      
100      77         True      
101      16         True      
102      16         True      
103      314        True      
104      95         True      
105      24         True      
106      279        True      
107      170        True      
108      333        True      
109      8          True      
110      40         True      
111      52         True      
112      55         True      
113      5          True      
114      9          True      
115      67         True      
116      46         True      
117      77         True      
118      90         True      
119      92         True      
120      116        True      
121      139        True      
122      141        True      
123      370        True      
124      58         True      
125      26         True      
126      357        True      
127      308        True      
128      3          True      
129      250        True      
130      253        True      
131      226        True      
132      22         True      
133      60         True      
134      177        True      
135      385        True      
136      95         True      
137      25         True      
138      10         True      
139      79         True      
140      96         True      
141      460        True      
142      12         True      
143      56         True      
144      185        True      
145      58         True      
146      19         True      
147      40         True      
148      303        True      
149      11         True      
150      85         True      
151      29         True      
152      75         True      
153      58         True      
154      4          True      
155      271        True      
156      124        True      
157      109        Fake      
158      116        Fake      
159      45         Fake      
160      195        Fake      
161      348        Fake      
162      199        Fake      
163      104        Fake      
164      122        Fake      
165      23         Fake      
166      198        Fake      
167      290        Fake      
168      47         Fake      
169      371        Fake      
170      95         Fake      
171      71         Fake      
172      3          Fake      
173      231        Fake      
174      169        Fake      
175      315        Fake      
176      35         Fake      
177      12         Fake      
178      104        Fake      
179      161        Fake      
180      239        Fake      
181      305        Fake      
182      28         Fake      
183      415        Fake      
184      22         Fake      
185      281        Fake      
186      17         Fake      
187      35         Fake      
188      265        Fake      
189      100        Fake      
190      165        Fake      
191      39         Fake      
192      43         Fake      
193      71         Fake      
194      81         Fake      
195      257        Fake      
196      192        Fake      
197      85         Fake      
198      240        Fake      
199      10         Fake      
200      344        Fake      
201      221        Fake      
202      62         Fake      
203      464        Fake      
204      99         Fake      
205      28         Fake      
206      248        Fake      
207      130        Fake      
208      29         Fake      
209      193        Fake      
210      22         Fake      
211      34         Fake      
212      77         Fake      
213      93         Fake      
214      13         Fake      
215      310        Fake      
216      310        Fake      
217      79         Fake      
218      298        Fake      
219      410        Fake      
220      27         Fake      
221      108        Fake      
222      55         Fake      
223      248        Fake      
224      62         Fake      
225      12         Fake      
226      208        Fake      
227      20         Fake      
228      145        Fake      
229      121        Fake      
230      222        Fake      
231      26         Fake      
232      233        Fake      
233      47         Fake      
234      97         Fake      
235      308        Fake      
236      186        Fake      
237      417        Fake      
238      374        Fake      
239      476        Fake      
240      28         Fake      
241      22         Fake      
242      42         Fake      
243      22         Fake      
244      299        Fake      
245      65         Fake      
246      40         Fake      
247      76         Fake      
248      12         Fake      
249      59         Fake      
250      180        Fake      
251      9          Fake      
252      213        Fake      
253      114        Fake      
254      68         Fake      
255      17         Fake      
256      27         Fake      
257      256        Fake      
258      458        Fake      
259      21         Fake      
260      177        Fake      
261      308        Fake      
262      145        Fake      
263      14         Fake      
264      315        Fake      
265      232        Fake      
266      74         Fake      
267      43         Fake      
268      40         Fake      
269      21         Fake      
270      24         Fake      
271      92         Fake      
272      407        Fake      
273      25         Fake      
274      240        Fake      
275      18         Fake      
276      218        Fake      
277      402        Fake      
278      146        Fake      
279      152        Fake      
280      9          Fake      
281      476        Fake      
282      103        Fake      
283      176        Fake      
284      306        Fake      
285      352        Fake      
286      7          Fake      
287      61         Fake      
288      32         Fake      
289      170        Fake      
290      433        Fake      
291      79         Fake      
292      135        Fake      
293      4          Fake      
294      223        Fake      
295      23         Fake      
296      308        Fake      
297      106        Fake      
298      95         Fake      
299      3          Fake      
300      33         Fake      
301      33         Fake      
302      260        Fake      
303      7          Fake      
304      54         Fake      
305      7          Fake      
306      9          Fake      
307      487        Fake      
308      13         Fake      
309      34         Fake      
310      285        Fake      
311      134        Fake      
312      121        Fake      
313      204        Fake      
